Grade,Subject,Chapter No.,Chapter,Part No.,Content_Title,Duration,youtube_link
Class 6,संस्कृत,3,शब्द परिचयः 3,3,द्विवचनस्य प्रयोग :,526,www.youtube.com/embed/qsykS3v-o4M
Class 6,संस्कृत,3,शब्द परिचयः 3,4,बहुवचनस्य प्रयोग :,572,www.youtube.com/embed/-5Slxs-VLQQ
Class 6,संस्कृत,3,शब्द परिचयः 3,5,अभ्यासप्रश्ना :,1520,www.youtube.com/embed/Ofnj6EAFcMY
Class 6,संस्कृत,4,विद्यालयः,1,सामान्य परिचय :,1381,www.youtube.com/embed/MZjeFTVMhFs
Class 6,संस्कृत,4,विद्यालयः,2,विद्यालयस्य द्रश्यम्,351,www.youtube.com/embed/EhdHPvEQsNU
Class 6,संस्कृत,4,विद्यालयः,3,परिचयात्मक - वार्तालाप:,571,www.youtube.com/embed/aDoldUN5GLc
Class 6,संस्कृत,4,विद्यालयः,4,शिक्षिका - छात्राणां सम्वाद: (भाग - 1),509,www.youtube.com/embed/aZpfD0kU5rQ
Class 6,संस्कृत,4,विद्यालयः,5,शिक्षिका - छात्राणां सम्वाद: (भाग - 2),338,www.youtube.com/embed/TNwzX01WjGA
Class 6,संस्कृत,4,विद्यालयः,6,अभ्यासप्रश्ना:,1550,www.youtube.com/embed/tEz9eqIMHh0
Class 6,संस्कृत,5,वृक्षाः,1,पाठप्रवेश:,452,www.youtube.com/embed/8LTXCMwrTic
Class 6,संस्कृत,5,वृक्षाः,2,कूजन्ति वृक्षा:,923,www.youtube.com/embed/RL02VthbAq4
Class 6,संस्कृत,5,वृक्षाः,3,साधुजना इव वृक्षा:,701,www.youtube.com/embed/MU8dXGABTgo
Class 6,संस्कृत,5,वृक्षाः,4,पश्यन्ति वृक्षा:,490,www.youtube.com/embed/viCfrTyDIPw
Class 6,संस्कृत,5,वृक्षाः,5,अभ्यासप्रश्ना:,1397,www.youtube.com/embed/eXLghyx4f-8
Class 6,संस्कृत,6,समुद्रतटः,1,सामान्यपरिचयः,867,www.youtube.com/embed/zGwfI1FSPKQ
Class 6,संस्कृत,6,समुद्रतटः,2,प्रथमगद्यांशः,753,www.youtube.com/embed/uSjqw8O68Xk
Class 6,संस्कृत,6,समुद्रतटः,3,द्वितीयगद्यांशः,544,www.youtube.com/embed/N9DtJMSBlQ4
Class 6,संस्कृत,6,समुद्रतटः,4,तृतीयगद्यांशः,692,www.youtube.com/embed/kU_WGiNrGTc
Class 6,संस्कृत,6,समुद्रतटः,5,अभ्यासप्रश्नाः,1368,www.youtube.com/embed/QwZ5vuBjj24
Class 6,संस्कृत,7,बकस्य प्रतिकारः,1,सामान्यपरिचयः,614,www.youtube.com/embed/tpHlCVXP2Gg
Class 6,संस्कृत,7,बकस्य प्रतिकारः,2,कथाया: प्रारंभिकभाग:,890,www.youtube.com/embed/cA-H5n2Obc4
Class 6,संस्कृत,7,बकस्य प्रतिकारः,3,कथाया: अंतिमभाग:,768,www.youtube.com/embed/wA6Nxsf62Go
Class 6,संस्कृत,7,बकस्य प्रतिकारः,4,कथाया: सन्देश:,688,www.youtube.com/embed/eO3E-TaSYFM
Class 6,संस्कृत,7,बकस्य प्रतिकारः,5,अभ्यासप्रश्ना:,932,www.youtube.com/embed/_c-mWSqNYJg
Class 6,संस्कृत,8,सूक्तिस्तबकः,1,प्रथम : श्लोक :,773,www.youtube.com/embed/M-MPwUhldH8
Class 6,संस्कृत,8,सूक्तिस्तबकः,2,द्वितीय : श्लोक :,507,www.youtube.com/embed/q-Z6L-t8ElE
Class 6,संस्कृत,8,सूक्तिस्तबकः,3,तृतीय : श्लोक :,543,www.youtube.com/embed/1DseIUG656c
Class 6,संस्कृत,8,सूक्तिस्तबकः,4,चतुर्थ : श्लोक :,807,www.youtube.com/embed/zhCV_E_J0Ig
Class 6,संस्कृत,8,सूक्तिस्तबकः,5,पंचम : श्लोक :,622,www.youtube.com/embed/Y2GvDcbzLFQ
Class 6,संस्कृत,8,सूक्तिस्तबकः,6,अभ्यासप्रश्ना:,799,www.youtube.com/embed/bSkijbYeI8I
Class 6,संस्कृत,9,क्रीडास्पर्धा,1,छात्राणा संवाद:,600,www.youtube.com/embed/KTODTlSjdvk
Class 6,संस्कृत,9,क्रीडास्पर्धा,2,क्रीड़ाया महत्वम,624,www.youtube.com/embed/4qtJS4qT-N0
Class 6,संस्कृत,9,क्रीडास्पर्धा,3,अभ्यासप्रश्ना:,1456,www.youtube.com/embed/J4Qy3ZlULDs
Class 6,संस्कृत,10,कृषिकाः कर्मवीराः,1,प्रथम: श्लोक:,664,www.youtube.com/embed/acGlvuctGF4
Class 6,संस्कृत,10,कृषिकाः कर्मवीराः,2,द्वितीय: श्लोक:,526,www.youtube.com/embed/8TjgjvgEl18
Class 6,संस्कृत,10,कृषिकाः कर्मवीराः,3,तृतीय: श्लोक:,538,www.youtube.com/embed/PU9J_d3kQtY
Class 6,संस्कृत,10,कृषिकाः कर्मवीराः,4,चतुर्थ: श्लोक:,462,www.youtube.com/embed/px994vowb14
Class 6,संस्कृत,10,कृषिकाः कर्मवीराः,5,पंचम: श्लोक:,445,www.youtube.com/embed/86m5v7Mcgo8
Class 6,संस्कृत,10,कृषिकाः कर्मवीराः,6,षष्ठ: श्लोक:,568,www.youtube.com/embed/z6l62XIZWwE
Class 6,संस्कृत,10,कृषिकाः कर्मवीराः,7,अभ्यास: प्रश्ना:,847,www.youtube.com/embed/th1P_cWCsqY
Class 6,संस्कृत,11,पुष्पोत्सवः,1,प्रथमगद्यांश: द्वितीयगद्यांश: च,843,www.youtube.com/embed/vdxwMdyesw4
Class 6,संस्कृत,11,पुष्पोत्सवः,2,तृतीयगद्यांश: चतुर्थगद्यांश: च,515,www.youtube.com/embed/jiTBjv1DTGs
Class 6,संस्कृत,11,पुष्पोत्सवः,3,अभ्यासप्रश्ना:,981,www.youtube.com/embed/Ie5IwvEWBKk
Class 6,हिन्दी (वसंत - 1),1,वह चिड़िया जो,1,भाग-1,547,www.youtube.com/embed/99SrdlOwZX0
Class 6,हिन्दी (वसंत - 1),1,वह चिड़िया जो,2,अभ्यास प्रश्न,919,www.youtube.com/embed/rvJ1E7ro-9U
Class 6,हिन्दी (वसंत - 1),2,बचपन,1,भाग-1,1346,www.youtube.com/embed/GlqYEGX7hu4
Class 6,हिन्दी (वसंत - 1),2,बचपन,2,भाग-2,712,www.youtube.com/embed/LJnL1XzRdlc
Class 6,हिन्दी (वसंत - 1),2,बचपन,3,अभ्यास प्रश्न,607,www.youtube.com/embed/qp9m6GTwYto
Class 6,हिन्दी (वसंत - 1),2,बचपन,4,विशेषण,672,www.youtube.com/embed/uQT006tCl1s
Class 6,हिन्दी (वसंत - 1),2,बचपन,5,भाषा की बात,624,www.youtube.com/embed/wYTBoYncGBQ
Class 6,हिन्दी (वसंत - 1),3,नादान दोस्त,1,भाग-1,867,www.youtube.com/embed/DE0KAaJtbZY
Class 6,हिन्दी (वसंत - 1),3,नादान दोस्त,2,भाग-2,844,www.youtube.com/embed/wLx1brlTyDo
Class 6,हिन्दी (वसंत - 1),3,नादान दोस्त,3,भाग-3,595,www.youtube.com/embed/AA4tS4Nj8Cw
Class 6,हिन्दी (वसंत - 1),3,नादान दोस्त,4,अभ्यास प्रश्न,729,www.youtube.com/embed/CKb07bOhJ5M
Class 6,हिन्दी (वसंत - 1),3,नादान दोस्त,5,भाषा की बात,1176,www.youtube.com/embed/NFb8-SNcwO8
Class 6,हिन्दी (वसंत - 1),3,नादान दोस्त,6,विराम चिन्ह,1180,www.youtube.com/embed/IOI_OvBrNbA
Class 6,हिन्दी (वसंत - 1),3,नादान दोस्त,7,पत्र लेखन,852,www.youtube.com/embed/Xp9CcFlIqXE
Class 6,हिन्दी (वसंत - 1),4,चाँद से थोड़ी-सी गप्पें,1,कविता,629,www.youtube.com/embed/1fgE5NGYurk
Class 6,हिन्दी (वसंत - 1),4,चाँद से थोड़ी-सी गप्पें,2,अभ्यास प्रश्न,719,www.youtube.com/embed/bnQIHeBcjec
